NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,ACERTOS_MT,ACERTOS_CN,ACERTOS_CH,ACERTOS_LC
700.0,506.4,560.3,513.6,20,14,23,11
700.6,607.6,433.3,620.2,23,22,13,7
700.6,405.8,534.9,463.6,25,8,19,13
700.9,587.8,555.7,617.0,22,19,24,12
701.6,558.1,642.7,610.0,24,17,33,9
705.8,490.8,602.7,580.1,23,14,29,12
707.3,595.2,583.1,557.0,25,21,24,10
709.3,470.8,554.6,571.5,24,11,20,12
710.6,436.5,485.7,531.5,23,9,15,10
711.0,569.1,631.1,612.1,25,19,31,13
711.0,647.3,630.6,584.9,25,28,31,9
714.1,629.7,655.9,719.7,24,23,36,14
715.3,643.2,639.9,579.4,26,25,34,14
715.4,551.8,598.6,552.6,26,14,28,15
717.8,620.2,633.1,591.2,23,22,33,13
718.8,590.8,610.2,585.7,27,19,29,10
719.2,509.5,621.0,557.1,23,12,32,10
719.5,485.4,607.2,616.1,23,10,30,16
720.3,634.5,605.3,607.2,26,25,29,13
720.3,590.7,592.3,607.4,24,21,26,13
720.4,625.6,698.9,607.0,26,23,37,14
721.4,595.7,641.4,625.3,27,18,33,16
722.0,724.4,698.8,645.1,25,35,38,14
722.1,581.0,624.1,616.7,26,19,31,10
722.5,607.2,668.7,640.3,24,19,35,12
733.5,643.2,694.1,597.8,26,26,37,11
738.9,580.8,580.6,601.4,27,20,26,11
739.2,645.0,671.9,570.2,25,26,36,12
742.2,599.5,532.6,523.7,28,21,20,11
746.8,643.2,677.8,641.2,27,25,37,13
747.0,574.1,618.0,578.6,29,16,30,12
747.1,660.3,666.5,605.1,27,28,36,12
750.0,576.5,658.8,603.8,25,15,34,15
750.6,601.4,610.4,595.3,29,21,29,13
751.4,577.2,688.7,623.6,27,16,38,10
752.2,617.5,655.6,530.8,29,24,35,14
753.6,583.8,663.1,589.9,29,20,36,15
755.3,715.3,704.2,675.6,31,36,37,13
756.8,661.2,681.8,608.8,28,30,37,15
757.0,623.3,546.1,594.9,28,23,20,11
757.2,689.9,735.7,655.0,30,31,42,12
757.9,632.2,658.8,508.0,29,26,33,13
761.0,632.6,616.2,586.0,30,23,28,12
769.3,598.3,650.6,682.8,32,23,35,13
774.2,617.2,645.9,596.7,31,21,32,9
776.8,645.9,596.9,580.7,30,25,29,12
783.6,596.5,569.1,526.3,30,20,26,10
784.8,601.1,585.3,574.1,33,22,27,16
790.2,598.9,667.2,602.7,32,21,38,11
794.3,609.6,572.4,593.9,34,21,25,9
804.6,685.6,739.3,665.2,35,31,41,13
830.7,742.7,581.8,582.0,37,36,27,13
855.0,702.2,657.9,651.7,40,33,35,14
864.7,721.6,702.0,637.1,39,35,39,9
925.4,715.0,716.0,648.3,43,34,39,13
