NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,ACERTOS_MT,ACERTOS_CN,ACERTOS_CH,ACERTOS_LC
424.0,535.1,384.6,513.3,6,15,10,12
424.3,535.7,572.3,565.8,6,14,23,14
424.4,551.0,538.4,522.9,9,16,20,10
425.0,392.9,548.8,534.0,5,9,20,13
425.0,469.8,432.9,524.8,8,14,11,12
425.2,394.0,429.7,508.4,10,10,8,12
425.5,392.7,505.6,481.0,7,9,17,15
425.6,479.1,407.4,475.1,8,11,9,8
425.8,415.4,566.1,525.2,10,8,24,12
426.3,495.0,555.6,516.7,7,13,21,12
426.6,572.6,532.7,528.7,7,18,22,13
426.8,392.4,487.8,473.6,8,10,15,10
428.3,552.2,430.3,531.9,7,20,12,15
428.5,434.0,346.4,483.0,8,9,6,9
428.5,440.9,523.7,544.7,8,8,21,8
428.7,449.9,582.8,543.4,10,10,29,11
429.6,459.3,459.4,469.3,10,10,13,11
430.5,508.4,554.5,535.1,10,15,22,9
430.6,482.0,543.1,536.3,8,9,23,13
431.6,503.3,459.3,554.8,8,10,16,12
431.6,476.9,471.7,535.4,8,12,12,8
432.0,428.5,582.1,571.2,11,8,26,12
432.3,429.1,445.1,514.5,6,12,11,11
433.9,486.6,390.0,451.9,10,13,10,15
434.3,503.6,572.2,553.4,10,14,25,6
434.6,569.9,504.0,521.8,9,18,16,10
435.6,468.9,386.4,528.0,6,12,12,6
436.6,423.2,461.8,488.2,9,9,13,9
436.7,393.0,518.3,470.9,6,10,17,9
436.8,444.3,566.3,538.5,7,11,22,10
437.1,383.7,475.2,555.0,6,7,12,11
437.7,505.5,479.6,476.0,8,13,16,13
437.8,478.2,536.9,576.5,9,10,20,10
438.0,384.0,396.0,429.8,8,6,9,13
438.1,499.8,537.6,523.1,11,12,22,8
438.3,436.9,395.5,394.7,9,9,11,15
438.9,451.1,404.8,510.2,9,11,8,11
439.3,371.6,531.8,496.8,6,4,22,8
440.0,461.9,539.2,527.4,10,12,23,8
440.3,430.7,483.0,469.4,8,8,15,11
441.1,398.8,431.9,490.8,9,11,12,13
441.4,473.1,524.1,511.9,10,12,18,12
442.2,375.4,539.5,512.3,6,6,20,9
442.5,404.5,430.7,361.2,9,7,11,10
442.9,450.2,424.0,489.1,14,10,10,10
443.2,363.4,332.1,381.1,12,5,7,9
444.8,429.9,392.6,478.6,8,7,10,5
445.0,477.4,532.4,501.8,8,10,20,10
445.0,429.9,486.9,462.5,10,10,16,12
445.3,451.7,454.2,480.6,12,10,13,11
445.7,465.3,515.2,478.8,8,14,19,14
445.9,436.5,401.3,434.7,11,7,11,10
446.0,456.2,556.9,530.5,10,11,21,9
447.2,558.9,565.9,560.6,12,19,22,6
447.6,379.0,392.1,388.9,9,8,12,5
448.0,439.0,341.7,507.3,6,9,6,11
448.0,500.0,456.4,484.5,10,12,11,10
448.1,377.5,508.0,494.9,7,5,16,6
448.2,501.9,580.2,497.5,11,13,24,7
448.8,564.3,547.4,550.4,12,17,22,12
450.2,346.1,459.2,435.8,7,5,13,11
450.3,390.8,504.0,501.1,14,8,17,8
450.4,436.9,333.8,475.1,8,6,8,10
451.3,415.6,407.5,418.3,8,12,12,15
451.9,443.6,471.6,521.7,5,13,12,7
452.3,488.7,354.9,451.6,9,11,5,16
452.4,514.4,507.9,553.8,10,13,19,8
452.8,494.9,582.5,593.0,8,13,25,13
453.5,380.5,533.9,551.6,11,8,18,13
453.7,382.7,408.7,438.7,6,8,10,11
454.1,533.2,604.3,579.5,10,12,30,11
454.5,426.3,466.7,403.8,9,10,16,13
454.7,463.7,617.0,559.2,9,11,30,7
455.5,461.2,464.9,464.8,9,15,16,8
455.5,506.1,527.7,522.4,9,13,19,11
458.0,451.6,525.0,466.5,10,8,18,11
458.4,410.6,436.5,497.9,13,10,13,10
458.5,396.0,440.6,512.1,11,8,14,14
459.3,520.8,537.7,493.2,10,15,19,9
461.1,434.5,478.5,416.2,9,13,15,13
461.1,396.1,377.9,397.2,11,9,10,10
461.9,389.7,436.6,549.6,10,7,13,11
462.6,531.1,575.6,562.9,10,12,22,9
462.6,402.1,493.1,450.0,11,8,16,8
462.9,393.3,494.6,495.4,9,8,17,10
463.1,409.1,533.4,577.0,6,9,21,8
465.2,374.5,393.4,455.4,10,8,12,10
465.2,410.9,498.3,508.7,12,10,14,7
465.5,508.6,365.1,370.8,9,13,11,8
465.9,420.6,480.5,519.4,10,10,19,11
466.4,567.9,580.5,538.8,11,17,27,13
466.9,476.3,498.7,500.9,13,12,16,9
466.9,450.0,317.2,388.8,10,7,10,6
467.2,492.9,541.3,522.1,4,13,21,11
468.0,561.8,551.7,550.6,10,16,20,8
468.0,411.5,535.2,519.0,11,10,21,13
468.3,380.3,439.9,487.2,10,7,10,9
468.9,477.1,503.0,517.8,15,11,15,7
468.9,430.1,351.3,494.3,9,9,9,7
469.4,435.9,306.3,487.5,10,8,8,13
469.7,499.1,566.3,544.2,9,13,24,8
469.8,362.1,419.7,468.6,8,7,11,7
470.0,492.2,472.9,562.9,12,10,12,12
470.4,549.4,552.7,560.5,11,17,21,11
470.9,550.3,579.6,559.6,10,16,24,13
471.6,549.3,495.0,539.9,9,18,16,14
472.3,511.2,539.1,557.3,14,13,20,7
472.3,467.6,506.4,534.3,10,11,15,6
472.6,426.4,516.7,501.6,9,12,17,11
473.6,483.6,582.9,594.2,9,11,25,11
475.1,572.5,399.3,501.8,12,18,12,7
476.9,543.2,521.1,531.4,12,15,17,11
477.2,452.6,584.3,569.2,9,8,25,8
477.3,369.5,428.2,412.8,9,11,11,16
477.9,494.2,571.1,557.1,9,10,25,13
478.5,445.5,451.4,476.3,11,9,12,6
479.1,376.5,503.6,562.7,11,8,19,11
479.1,470.8,499.5,518.8,11,10,17,6
479.3,447.7,300.9,444.9,7,11,3,10
479.6,513.0,464.4,522.2,9,14,13,6
479.9,555.6,398.7,549.2,12,15,9,7
481.5,471.4,493.0,492.4,9,12,15,5
481.8,438.5,481.5,509.4,9,14,14,10
482.5,514.0,507.8,505.3,11,14,17,10
483.1,516.0,308.1,438.2,8,15,8,6
483.5,448.2,466.4,515.3,8,12,14,5
484.2,490.1,487.9,516.6,10,12,16,9
484.8,422.0,542.4,576.1,10,10,22,11
485.3,469.5,455.9,554.8,9,8,14,8
487.2,382.4,396.9,497.6,8,7,11,10
487.6,506.3,425.2,486.6,14,16,9,10
487.6,405.5,481.4,505.2,8,8,16,14
488.0,370.4,453.1,487.2,10,5,13,8
488.9,414.8,540.9,503.7,12,6,20,8
488.9,449.3,491.2,508.5,11,13,17,12
489.2,448.4,445.3,467.9,9,12,13,6
489.7,549.2,471.4,511.9,8,18,14,11
490.1,522.5,562.2,581.1,12,14,24,12
490.1,530.0,466.2,391.8,7,13,13,9
490.1,421.8,497.8,516.1,9,11,15,9
491.0,461.5,557.0,512.6,7,12,22,8
492.4,471.1,536.6,511.0,10,12,19,13
492.5,514.8,521.7,528.9,9,16,20,13
492.5,483.9,474.6,436.9,13,11,17,11
493.1,403.4,510.4,515.6,13,9,15,15
493.2,470.1,394.5,452.9,11,9,12,6
493.4,553.0,523.3,514.3,12,15,19,14
493.6,511.5,455.9,517.5,11,14,12,11
494.6,440.6,566.7,580.8,12,11,25,9
495.5,359.9,382.6,453.2,9,6,8,9
495.9,497.2,542.2,524.4,9,11,22,8
496.2,457.7,517.8,537.0,8,8,21,14
496.8,599.6,606.9,608.4,13,21,30,15
497.1,480.3,556.5,570.2,8,8,22,9
497.9,371.6,523.8,548.7,11,6,18,10
499.6,399.4,402.4,393.9,15,7,12,8
499.7,463.0,473.8,531.3,13,14,13,12
500.2,555.5,526.5,501.8,8,17,19,12
500.5,509.2,541.8,546.0,11,14,20,8
501.1,460.5,410.9,431.7,10,9,14,9
501.7,446.9,421.6,508.0,12,9,10,9
502.6,512.2,483.0,435.6,9,15,14,13
502.7,446.3,476.1,503.5,11,9,13,10
503.9,365.1,504.1,525.0,10,8,17,8
504.1,440.7,432.1,485.6,9,6,14,11
504.7,365.5,365.4,374.0,10,6,12,8
505.3,385.2,463.3,527.2,11,11,11,9
505.5,437.3,429.8,441.1,12,8,12,8
505.7,528.0,648.2,598.3,13,13,34,10
505.9,451.1,610.7,554.3,12,7,31,10
506.1,492.9,572.3,556.4,9,17,24,8
507.0,435.6,498.1,510.0,10,12,17,6
507.5,477.8,402.1,427.8,10,13,11,10
508.1,560.5,589.7,599.7,12,15,27,10
511.0,532.5,493.7,494.2,14,14,16,15
511.5,523.6,512.6,556.3,14,12,18,10
512.3,484.9,545.9,527.1,7,12,22,17
515.9,484.7,471.5,520.0,12,13,18,10
516.3,515.7,530.5,520.8,8,14,20,13
516.7,449.4,391.6,529.6,9,13,9,10
516.9,385.0,427.0,496.5,13,7,12,6
517.0,443.1,544.3,542.5,10,11,21,13
517.3,467.4,519.3,524.7,11,7,18,9
518.7,462.1,511.9,511.0,9,9,18,9
519.0,489.2,400.7,529.5,12,10,8,10
519.1,429.9,507.0,486.5,9,8,16,13
520.4,495.8,523.4,607.5,11,12,19,10
520.5,688.3,619.7,588.4,12,33,29,11
520.7,480.5,399.7,470.5,14,13,9,10
520.8,539.9,575.5,591.0,13,17,25,7
521.2,452.9,523.0,401.8,11,9,19,18
521.7,531.1,562.1,612.2,9,15,24,14
522.1,438.4,513.6,490.6,12,9,17,12
522.1,536.7,491.4,540.5,7,14,16,6
522.2,549.2,556.7,544.4,10,16,22,8
522.6,559.4,642.9,560.7,9,15,35,16
522.9,546.1,557.8,566.6,13,16,23,8
522.9,454.7,421.8,315.6,11,11,11,7
524.1,470.2,425.9,442.3,12,11,15,3
524.1,524.9,540.7,524.8,10,12,20,11
524.3,460.9,566.3,575.0,14,15,25,9
524.3,431.1,484.2,528.0,10,9,15,15
525.4,444.6,583.3,581.7,10,8,25,13
525.7,444.4,600.5,552.6,11,10,29,8
525.7,450.6,541.7,533.2,12,9,21,15
526.2,489.6,587.6,533.9,12,12,27,5
526.3,571.8,612.2,575.5,12,19,31,8
526.4,492.3,384.0,453.3,11,13,9,8
526.6,468.8,495.5,502.6,13,12,16,11
526.8,376.3,371.2,385.8,15,8,11,11
527.0,408.1,486.7,547.7,12,10,14,10
527.7,530.3,478.9,543.9,12,14,15,4
528.6,492.2,447.8,510.5,13,14,13,8
530.1,504.5,556.2,592.6,12,14,23,10
531.4,437.7,514.5,553.5,8,9,17,11
531.9,373.5,464.3,527.8,13,7,16,10
534.0,562.9,601.6,622.7,15,17,27,13
534.5,429.8,448.7,483.1,12,6,14,6
535.3,403.1,362.6,488.7,13,8,10,9
535.8,490.6,565.6,592.7,13,12,23,16
535.9,558.9,489.3,509.8,14,16,16,8
537.2,461.5,588.7,556.2,12,10,24,12
537.6,387.5,455.6,464.8,14,9,14,10
538.1,497.8,376.6,448.7,12,13,10,10
538.8,450.9,472.7,519.2,10,12,14,8
538.9,546.8,558.9,538.0,13,16,23,7
541.1,512.4,528.1,517.6,11,13,20,9
541.2,481.1,343.1,376.8,16,10,5,15
541.6,433.6,548.6,539.2,7,9,22,7
541.7,455.7,554.1,589.4,10,6,24,7
542.2,446.8,524.9,569.6,10,15,21,12
543.4,583.1,558.1,559.8,12,19,22,11
544.4,483.1,512.7,511.7,14,8,19,12
546.4,455.8,486.3,554.9,10,10,16,11
548.5,420.5,549.8,525.4,8,6,22,14
549.5,416.4,493.6,506.0,12,10,17,6
550.4,477.1,453.1,513.1,8,12,11,9
551.6,449.3,508.4,560.1,12,7,15,7
551.7,369.7,479.9,514.4,13,7,14,9
553.9,397.2,442.9,517.7,11,12,13,12
554.0,565.2,490.4,554.2,13,17,15,9
554.6,516.9,439.6,461.0,14,15,10,13
554.9,510.9,566.4,512.0,15,14,24,11
555.1,550.3,529.7,563.2,11,17,19,11
555.2,573.4,555.5,545.5,10,21,23,9
555.8,526.3,574.4,534.0,12,14,25,11
558.6,463.0,559.5,555.6,14,13,23,12
559.8,505.3,552.2,541.7,12,12,21,9
560.5,429.5,529.7,554.6,13,11,19,10
560.8,577.5,601.4,542.6,12,20,29,6
561.6,558.0,563.2,587.2,11,17,24,5
561.7,523.9,634.9,610.3,12,14,34,13
561.9,532.6,556.0,567.8,15,15,23,9
562.6,435.1,413.7,495.6,15,9,10,11
563.7,513.1,592.6,546.1,15,12,27,13
564.6,501.6,631.4,570.7,10,11,32,9
564.7,560.5,558.2,528.4,12,19,23,10
565.9,536.6,474.3,538.0,15,15,15,10
567.9,548.5,535.9,542.8,12,18,19,6
570.5,573.0,546.4,529.5,14,17,20,7
571.1,528.1,545.0,574.0,12,16,24,10
573.8,553.6,559.7,567.2,14,18,22,8
574.1,450.5,403.3,510.8,12,13,7,7
574.3,523.6,519.8,550.5,14,14,17,11
575.1,496.9,493.8,578.9,12,10,16,13
577.6,478.4,505.8,500.6,14,12,16,5
578.6,434.2,428.7,454.2,12,10,9,4
580.4,530.8,515.1,593.3,14,15,17,15
581.0,566.6,618.4,622.6,11,18,32,11
581.2,488.5,580.8,533.4,11,12,27,5
581.3,464.9,333.5,496.3,12,9,9,7
582.0,592.4,564.2,525.1,18,19,23,13
582.1,483.7,508.4,511.7,14,9,16,12
582.5,528.4,585.3,526.6,15,13,28,13
583.3,413.6,538.0,540.8,13,9,20,12
583.7,515.8,525.7,565.1,12,12,17,11
585.4,577.1,590.3,505.4,18,17,27,15
586.8,438.2,519.5,559.9,15,12,19,12
587.1,452.8,580.2,592.6,14,9,25,9
587.6,430.3,505.7,536.4,12,8,19,12
587.6,571.9,484.1,496.3,16,19,15,9
587.9,400.6,506.8,590.8,13,7,15,13
588.0,379.7,426.2,513.9,15,7,9,8
588.4,351.0,467.2,448.2,13,6,13,12
588.5,411.6,411.0,523.1,12,10,11,14
588.7,562.6,601.0,594.1,13,17,28,9
